ID,Athlete,Gender,Age,Height,Weight,Country,Code,Year,Season,City
1,A Dijiang,M,24,180,80,China,CHN,1992,Summer,Barcelona
2,A Lamusi,M,23,170,60,China,CHN,2012,Summer,London
23,Fritz Aanes,M,22,187,89,Norway,NOR,2000,Summer,Sydney
23,Fritz Aanes,M,26,187,89,Norway,NOR,2004,Summer,Athi
46,Hans Aasns,M,33,194,93,Norway,NOR,1936,Summer,Berlin
46,Hans Aasns,M,45,194,93,Norway,NOR,1948,Summer,London
46,Hans Aasns,M,49,194,93,Norway,NOR,1952,Summer,Helsinki
46,Hans Aasns,M,53,194,93,Norway,NOR,1956,Summer,Melbourne
46,Hans Aasns,M,57,194,93,Norway,NOR,1960,Summer,Roma
50,Arvi Aavik,M,22,185,106,Estonia,EST,1992,Summer,Barcelona
50,Arvi Aavik,M,26,185,106,Estonia,EST,1996,Summer,Atlanta
73,Luc Abalo,M,23,182,86,France,FRA,2008,Summer,Beijing
73,Luc Abalo,M,27,182,86,France,FRA,2012,Summer,London
73,Luc Abalo,M,31,182,86,France,FRA,2016,Summer,Rio de Janeiro
92,Igzio Abate,M,21,180,73,Italy,ITA,2008,Summer,Beijing
99,Pter Abay,M,30,181,79,Hungary,HUN,1992,Summer,Barcelona
112,Aziz Abbas,M,21,169,67,Iraq,IRQ,1964,Summer,Tokyo
117,Maher Abbas,M,22,178,78,Lebanon,LIB,1988,Summer,Seoul
117,Maher Abbas,M,22,178,78,Lebanon,LIB,1988,Summer,Seoul
132,Simo Abbate,F,28,171,64,Italy,ITA,2012,Summer,London
152,Matt Abbott,M,34,185,91,Cada,CAN,2000,Summer,Sydney
251,Bashir Abdi,M,27,176,56,Belgium,BEL,2016,Summer,Rio de Janeiro
251,Bashir Abdi,M,27,176,56,Belgium,BEL,2016,Summer,Rio de Janeiro
252,Youcef Abdi,M,30,178,66,Australia,AUS,2008,Summer,Beijing
252,Youcef Abdi,M,34,178,66,Australia,AUS,2012,Summer,London
257,Ali Abdo,M,19,169,74,Australia,AUS,2000,Summer,Sydney
257,Ali Abdo,M,23,169,74,Australia,AUS,2004,Summer,Athi
257,Ali Abdo,M,27,169,74,Australia,AUS,2008,Summer,Beijing
259,Reema Abdo,F,21,173,59,Cada,CAN,1984,Summer,Los Angeles
259,Reema Abdo,F,21,173,59,Cada,CAN,1984,Summer,Los Angeles
259,Reema Abdo,F,21,173,59,Cada,CAN,1984,Summer,Los Angeles
266,Raouf Abdou,M,22,165,60,Egypt,EGY,2004,Summer,Athi
362,Isao Ko Abe,M,24,177,75,Japan,JPN,1936,Summer,Berlin
363,Kazumi Abe,M,24,178,67,Japan-1,JPN,1972,Winter,Sapporo
363,Kazumi Abe,M,24,178,67,Japan-1,JPN,1972,Winter,Sapporo
363,Kazumi Abe,M,28,178,67,Japan-1,JPN,1976,Winter,Innsbruck
363,Kazumi Abe,M,28,178,67,Japan,JPN,1976,Winter,Innsbruck
364,Kazuo Abe,M,25,166,69,Japan,JPN,1960,Summer,Roma
365,Kinya Abe,M,23,168,68,Japan,JPN,1992,Summer,Barcelona
366,Kiyoshi Abe,M,25,167,62,Japan,JPN,1972,Summer,Munich
367,Masashi Abe,M,22,175,64,Japan,JPN,1988,Winter,Calgary
367,Masashi Abe,M,22,175,64,Japan,JPN,1988,Winter,Calgary
367,Masashi Abe,M,26,175,64,Japan,JPN,1992,Winter,Albertville
367,Masashi Abe,M,28,175,64,Japan,JPN,1994,Winter,Lillehammer
367,Masashi Abe,M,28,175,64,Japan,JPN,1994,Winter,Lillehammer
368,oki Abe,M,23,173,68,Japan,JPN,1968,Summer,Mexico City
368,oki Abe,M,23,173,68,Japan,JPN,1968,Summer,Mexico City
373,Tadashi Abe,M,21,190,80,Japan,JPN,1984,Summer,Los Angeles
373,Tadashi Abe,M,25,190,80,Japan,JPN,1988,Summer,Seoul
373,Tadashi Abe,M,29,190,80,Japan,JPN,1992,Summer,Barcelona
375,Wakako Abe,F,18,168,60,Japan,JPN,1984,Summer,Los Angeles
377,Yuki Abe,M,22,177,75,Japan,JPN,2004,Summer,Athi
379,Addis Abebe,M,21,160,50,Ethiopia,ETH,1992,Summer,Barcelona
379,Addis Abebe,M,21,160,50,Ethiopia,ETH,1992,Summer,Barcelona
380,Biruk Abebe,M,22,173,62,Ethiopia,ETH,1992,Summer,Barcelona
380,Biruk Abebe,M,22,173,62,Ethiopia,ETH,1992,Summer,Barcelona
381,Beissa Abed,M,23,170,51,Algeria,ALG,1988,Summer,Seoul
390,Brooke Abel,F,20,163,52,United States,USA,2008,Summer,Beijing
393,Gnther Abel,M,19,183,80,West Germany,FRG,1976,Winter,Innsbruck
393,Gnther Abel,M,23,183,80,West Germany,FRG,1980,Winter,Lake Placid
394,Irene Abel,F,19,160,48,East Germany,GDR,1972,Summer,Munich
394,Irene Abel,F,19,160,48,East Germany,GDR,1972,Summer,Munich
394,Irene Abel,F,19,160,48,East Germany,GDR,1972,Summer,Munich
394,Irene Abel,F,19,160,48,East Germany,GDR,1972,Summer,Munich
394,Irene Abel,F,19,160,48,East Germany,GDR,1972,Summer,Munich
394,Irene Abel,F,19,160,48,East Germany,GDR,1972,Summer,Munich
396,Katja Abel,F,25,165,55,Germany,GER,2008,Summer,Beijing
396,Katja Abel,F,25,165,55,Germany,GER,2008,Summer,Beijing
396,Katja Abel,F,25,165,55,Germany,GER,2008,Summer,Beijing
396,Katja Abel,F,25,165,55,Germany,GER,2008,Summer,Beijing
396,Katja Abel,F,25,165,55,Germany,GER,2008,Summer,Beijing
403,Ruth Abeles,F,18,153,48,Israel,ISR,1960,Summer,Roma
403,Ruth Abeles,F,18,153,48,Israel,ISR,1960,Summer,Roma
403,Ruth Abeles,F,18,153,48,Israel,ISR,1960,Summer,Roma
403,Ruth Abeles,F,18,153,48,Israel,ISR,1960,Summer,Roma
403,Ruth Abeles,F,18,153,48,Israel,ISR,1960,Summer,Roma
419,Majken berg,F,30,170,60,Sweden,SWE,1948,Summer,London
456,Karin Abma,F,24,174,62,Netherlands,NED,1976,Summer,Montreal
462,Ilze bola,F,19,169,60,Latvia,LAT,1998,Winter,gano
491,Kamel Aboud,M,22,178,67,Algeria,ALG,1984,Summer,Los Angeles
493,Rabah Aboud,M,31,180,64,Algeria,ALG,2012,Summer,London
589,jmeh Abtin,F,25,160,57,Iran,IRI,2008,Summer,Beijing
603,Juma Abudu,M,24,170,59,Kenya,KEN,1988,Summer,Seoul
626,Alain Acart,M,21,175,67,France,FRA,1972,Summer,Munich
626,Alain Acart,M,25,175,67,France,FRA,1976,Summer,Montreal
634,Paul Accola,M,20,176,82,Switzerland,SUI,1988,Winter,Calgary
634,Paul Accola,M,20,176,82,Switzerland,SUI,1988,Winter,Calgary
634,Paul Accola,M,24,176,82,Switzerland,SUI,1992,Winter,Albertville
634,Paul Accola,M,24,176,82,Switzerland,SUI,1992,Winter,Albertville
634,Paul Accola,M,24,176,82,Switzerland,SUI,1992,Winter,Albertville
634,Paul Accola,M,24,176,82,Switzerland,SUI,1992,Winter,Albertville
634,Paul Accola,M,24,176,82,Switzerland,SUI,1992,Winter,Albertville
634,Paul Accola,M,26,176,82,Switzerland,SUI,1994,Winter,Lillehammer
634,Paul Accola,M,26,176,82,Switzerland,SUI,1994,Winter,Lillehammer
634,Paul Accola,M,26,176,82,Switzerland,SUI,1994,Winter,Lillehammer
634,Paul Accola,M,26,176,82,Switzerland,SUI,1994,Winter,Lillehammer
634,Paul Accola,M,30,176,82,Switzerland,SUI,1998,Winter,gano
634,Paul Accola,M,30,176,82,Switzerland,SUI,1998,Winter,gano
634,Paul Accola,M,30,176,82,Switzerland,SUI,1998,Winter,gano
634,Paul Accola,M,30,176,82,Switzerland,SUI,1998,Winter,gano
634,Paul Accola,M,34,176,82,Switzerland,SUI,2002,Winter,Salt Lake City
634,Paul Accola,M,34,176,82,Switzerland,SUI,2002,Winter,Salt Lake City
705,Dot Acklin,M,22,190,99,Switzerland-2,SUI,1988,Winter,Calgary
705,Dot Acklin,M,26,190,99,Switzerland-1,SUI,1992,Winter,Albertville
705,Dot Acklin,M,26,190,99,Switzerland-1,SUI,1992,Winter,Albertville
